"filename", "language", "JSON", "Markdown", "CSS", "HTML", "JavaScript", "XML", "JavaScript JSX", "comment", "blank", "total"
"d:\Projects\College Projects\Book Trading\book-trading-react\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Projects\College Projects\Book Trading\book-trading-react\package-lock.json", "JSON", 34196, 0, 0, 0, 0, 0, 0, 0, 1, 34197
"d:\Projects\College Projects\Book Trading\book-trading-react\package.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 0, 1, 60
"d:\Projects\College Projects\Book Trading\book-trading-react\public\index.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"d:\Projects\College Projects\Book Trading\book-trading-react\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Projects\College Projects\Book Trading\book-trading-react\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 5, 42
"d:\Projects\College Projects\Book Trading\book-trading-react\src\app\store.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"d:\Projects\College Projects\Book Trading\book-trading-react\src\assets\images\back.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\AddBook\AddBook.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 196, 5, 17, 218
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\AddBook\AddBookForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 201, 0, 11, 212
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\AddBook\AddBookImages.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 4, 37
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\AddBook\QrCodeScanner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 8, 45
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\AddBook\ScanIsbn.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\AddBook\SearchIsbn.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 3, 29
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\AddBook\SimilarListingItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 5, 107
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\AddBook\SimilarListingsModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 7, 42
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\AuctionWins\AuctionItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 3, 125
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\AuctionWins\AuctionWins.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 8, 38
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Auction\Auction.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 98, 5, 11, 114
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Auction\AuctionActivities.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 4, 33
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Auction\AuctionEnded.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 161, 1, 10, 172
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Auction\AuctionInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 150, 7, 12, 169
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Auction\AuctionNotStarted.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 7, 106
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Auction\TopBidders\TopBidder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 3, 30
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Auction\TopBidders\TopBidders.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 30, 1, 5, 36
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Auction\TopBidders\TopThreeBidder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 3, 31
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Auction\TopBidders\TopThreeBidders.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 1, 6, 26
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Auction\WriteReviewAuction.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 132, 0, 14, 146
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\ExchangeInitiates\ExchangeInitiates.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 9, 42
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\ExchangeInitiates\InitiateItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 192, 1, 7, 200
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\ExchangeInitiates\InitiateList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 20, 13, 4, 37
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\ExchangeOffers\ExchangeOffers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 11, 44
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\ExchangeOffers\OfferActionModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 3, 40
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\ExchangeOffers\OfferItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 228, 12, 15, 255
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\ExchangeOffers\OfferList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 1, 4, 32
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Layout\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 70, 2, 9, 81
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Layout\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 174, 0, 17, 191
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Layout\UserMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 17, 144
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Orders\OrderItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 6, 84
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Orders\Orders.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 8, 42
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\Orders\WriteReviewOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 132, 0, 14, 146
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\WriteReview\WriteReview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 144, 0, 14, 158
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\admin\Admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\admin\ManageBooks\BookRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 10, 90
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\admin\ManageBooks\BookStatusModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 4, 42
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\admin\ManageBooks\ManageBooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 8, 50
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\admin\ManageUsers\ManageUsers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 1, 7, 53
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\admin\ManageUsers\RoleChangeModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 3, 36
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\admin\ManageUsers\UserRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 9, 81
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\auth\Login\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 93, 2, 13, 108
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\auth\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 6, 21
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\auth\Register\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 119, 2, 13, 134
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\AuctionBook\AuctionBook.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 10, 59
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\AuctionBook\AuctionBookInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 178, 3, 8, 189
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\AuctionBook\AuctionBookSettings\AuctionBookSettings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 30, 1, 8, 39
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\AuctionBook\AuctionBookSettings\AuctionSettingsForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 170, 5, 15, 190
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\ExchangeBook\ExchangeBook.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 10, 61
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\ExchangeBook\ExchangeBookInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 227, 4, 12, 243
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\ExchangeBook\MyBookOffers\MyBookOffers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 102, 6, 12, 120
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\ExchangeBook\MyBookOffers\OfferItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 3, 40
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\SellBook\SellBook.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 10, 60
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\SellBook\SellBookInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 170, 0, 9, 179
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\common\AnswerForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 9, 84
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\common\BookDiscussion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 8, 46
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\common\DiscussionForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 68, 3, 11, 82
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\common\DiscussionQuestion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 1, 5, 41
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\book\common\RecommendedBooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 5, 126
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\books\AllBooks\AllBooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 46, 1, 10, 57
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\books\AuctionBooks\AuctionBooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 1, 9, 50
